,Rk,Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
173,166,Jalen Williams,OKC,3,0,24.3,4.0,7.3,.545,0.3,2.7,.125,0.7,0.7,1.000,0.7,2.0,2.7,4.3,0.7,0.3,1.3,3.3,9.0,7.8
174,167,Jarred Vanderbilt,UTA,3,3,23.3,3.3,5.3,.625,0.3,1.7,.200,0.3,0.7,.500,3.0,5.3,8.3,1.3,0.7,0.0,1.3,2.7,7.3,7.7
175,168,Monte Morris,WAS,3,3,25.3,3.0,8.3,.360,0.7,2.7,.250,0.3,0.7,.500,0.7,4.0,4.7,6.0,0.7,0.3,1.0,1.0,7.0,7.6
176,169,Jericho Sims,NYK,3,1,20.0,2.7,2.7,1.000,0.0,0.0,,0.3,0.7,.500,2.7,3.3,6.0,0.3,0.3,1.3,0.3,3.0,5.7,7.6
177,170,Will Barton,WAS,3,0,22.7,3.3,9.3,.357,1.7,5.3,.313,1.7,1.7,1.000,0.7,4.0,4.7,2.7,0.3,0.7,1.3,0.7,10.0,7.5
178,171,Daniel Gafford,WAS,3,0,18.6,1.7,1.7,1.000,0.0,0.0,,2.7,4.3,.615,1.7,4.0,5.7,0.7,0.0,2.3,1.0,2.0,6.0,7.5
179,172,Jalen Duren,DET,3,0,22.7,2.0,3.3,.600,0.0,0.0,,0.3,1.3,.250,2.7,7.3,10.0,1.0,1.0,0.7,0.7,1.3,4.3,7.4
180,173,Thaddeus Young,TOR,3,1,23.3,2.3,4.7,.500,0.0,0.7,.000,1.7,2.0,.833,2.3,2.7,5.0,1.7,1.3,0.3,1.0,1.7,6.3,7.4
181,174,Dillon Brooks,MEM,3,3,32.5,7.0,17.3,.404,2.3,6.7,.350,1.3,1.3,1.000,0.7,3.7,4.3,1.7,0.0,0.0,2.3,3.7,17.7,7.3
182,175,Andre Drummond,CHI,2,0,16.8,3.0,5.0,.600,0.0,0.0,,1.5,1.5,1.000,2.0,6.0,8.0,1.0,0.5,0.0,1.5,2.0,7.5,7.3
