,Rk,Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
171,164,Brandon Clarke,MEM,8,1,18.5,3.9,6.4,.608,0.0,0.3,.000,2.0,2.8,.727,1.0,3.1,4.1,1.3,0.1,1.0,1.1,2.5,9.8,7.8
172,165,Isaiah Hartenstein,NYK,7,3,25.0,2.9,5.1,.556,0.3,0.9,.333,0.7,0.9,.833,3.4,5.1,8.6,0.7,0.4,1.4,1.1,2.7,6.7,7.8
173,166,De'Andre Hunter,ATL,7,7,30.3,5.9,13.3,.441,1.3,4.0,.321,2.4,3.3,.739,1.0,2.9,3.9,0.6,0.3,0.3,1.6,3.3,15.4,7.7
174,167,Corey Kispert,WAS,6,5,24.2,3.2,5.7,.559,1.3,3.0,.444,1.2,1.3,.875,0.0,2.2,2.2,1.7,0.8,0.0,0.7,1.2,8.8,7.6
175,168,Jaden McDaniels,MIN,7,7,27.0,4.7,8.0,.589,1.0,2.3,.438,1.0,1.6,.636,1.6,2.1,3.7,1.1,0.7,0.7,1.9,4.4,11.4,7.6
176,169,De'Anthony Melton,PHI,5,4,29.1,3.6,9.4,.383,1.4,5.0,.280,0.4,0.8,.500,2.4,3.6,6.0,3.0,1.0,1.0,1.8,2.2,9.0,7.6
177,170,Onyeka Okongwu,ATL,6,0,19.4,3.2,5.2,.613,0.0,0.2,.000,0.7,0.7,1.000,1.7,4.2,5.8,1.3,0.7,0.8,0.5,3.0,7.0,7.6
178,171,Immanuel Quickley,NYK,7,0,20.7,3.0,8.1,.368,0.9,3.4,.250,2.0,2.1,.933,0.6,4.9,5.4,2.6,1.6,0.1,1.1,2.3,8.9,7.6
179,172,Trey Murphy III,NOP,7,1,25.9,2.6,6.7,.383,1.3,5.1,.250,2.0,2.0,1.000,0.9,2.3,3.1,1.7,0.7,0.6,0.4,1.1,8.4,7.5
180,173,Eugene Omoruyi,OKC,2,0,14.8,4.0,6.0,.667,2.5,3.0,.833,0.5,1.0,.500,0.0,1.5,1.5,0.5,0.5,0.0,1.0,2.5,11.0,7.5
181,174,Austin Reaves,LAL,7,3,30.3,2.9,6.4,.444,0.7,2.7,.263,3.0,3.4,.875,0.9,2.7,3.6,1.6,0.6,0.4,1.3,1.1,9.4,7.5
182,175,Obi Toppin,NYK,7,0,19.6,3.9,9.0,.429,1.9,5.3,.351,1.0,1.0,1.000,1.0,3.3,4.3,0.7,1.0,0.3,1.3,1.0,10.6,7.5
183,176,Talen Horton-Tucker,UTA,8,0,16.8,3.1,7.5,.417,1.0,3.0,.333,1.4,1.6,.846,0.5,2.0,2.5,3.3,0.6,0.3,0.9,0.8,8.6,7.4
184,177,Andre Drummond,CHI,2,0,16.8,3.0,5.0,.600,0.0,0.0,,1.5,1.5,1.000,2.0,6.0,8.0,1.0,0.5,0.0,1.5,2.0,7.5,7.3
185,178,Ayo Dosunmu,CHI,7,7,30.6,4.4,9.4,.470,1.0,3.9,.259,1.1,1.3,.889,0.3,2.9,3.1,3.3,0.7,0.3,2.1,2.6,11.0,7.2
186,179,Jalen McDaniels,CHO,8,1,27.7,3.8,9.1,.411,1.1,3.8,.300,0.8,1.1,.667,1.4,2.6,4.0,2.6,1.6,0.5,1.6,2.8,9.4,7.2
187,180,Zach Collins,SAS,2,0,22.7,3.5,8.5,.412,0.5,2.5,.200,1.0,1.0,1.000,1.0,6.5,7.5,2.5,1.0,1.0,2.0,2.5,8.5,7.1
189,181,Dewayne Dedmon,MIA,6,0,13.9,2.5,5.0,.500,0.7,1.8,.364,2.2,2.7,.813,1.2,3.7,4.8,1.0,0.2,0.7,0.5,2.0,7.8,7.1
190,182,Nick Richards,CHO,8,0,18.0,3.1,5.0,.625,0.0,0.0,,2.0,3.0,.667,2.1,3.0,5.1,0.8,0.1,1.0,1.3,2.5,8.3,7.1
191,183,Lamar Stevens,CLE,2,1,24.4,3.5,7.0,.500,0.0,1.0,.000,3.5,4.0,.875,1.0,2.0,3.0,0.5,0.0,0.5,0.5,3.0,10.5,7.1
192,184,Otto Porter Jr.,TOR,7,1,19.2,2.1,4.0,.536,0.9,2.3,.375,1.1,1.1,1.000,0.9,1.7,2.6,1.1,1.6,0.0,0.4,1.0,6.3,7.0
193,185,Derrick White,BOS,7,4,24.0,2.4,6.4,.378,1.1,3.3,.348,1.3,1.4,.900,0.6,2.7,3.3,3.1,0.3,1.3,0.3,2.6,7.3,7.0
194,186,Justise Winslow,POR,6,4,28.2,3.5,8.8,.396,0.3,1.8,.182,0.8,1.3,.625,1.8,3.3,5.2,4.2,0.8,0.3,1.3,2.8,8.2,7.0
195,187,Josh Hart,POR,7,7,36.7,2.4,7.6,.321,0.6,2.1,.267,2.0,3.6,.560,1.3,7.0,8.3,4.7,1.0,0.1,1.9,2.9,7.4,6.9
196,188,Georges Niang,PHI,7,0,20.5,3.3,7.6,.434,2.7,6.1,.442,0.7,0.7,1.000,0.3,1.9,2.1,1.0,0.6,0.7,0.9,2.0,10.0,6.9
197,189,Jalen Duren,DET,4,0,22.4,2.0,3.8,.533,0.0,0.0,,1.0,2.5,.400,2.5,6.0,8.5,0.8,0.8,1.3,0.8,1.8,5.0,6.8
198,190,Anthony Lamb,GSW,4,1,22.5,3.5,6.5,.538,1.8,4.0,.438,0.0,0.0,,1.0,2.3,3.3,1.3,1.0,0.0,1.0,2.8,8.8,6.8
199,191,Jose Alvarado,NOP,7,0,16.6,2.9,5.7,.500,1.4,3.0,.476,0.4,0.7,.600,0.6,1.4,2.0,3.0,1.0,0.1,1.0,2.4,7.6,6.7
200,192,Mo Bamba,ORL,5,0,16.2,3.0,5.0,.600,0.6,1.8,.333,0.8,1.4,.571,1.0,3.4,4.4,1.2,0.2,0.8,0.8,1.6,7.4,6.7
201,193,Sam Hauser,BOS,7,0,19.0,3.3,6.7,.489,2.3,5.6,.410,0.3,0.3,1.000,0.4,1.9,2.3,0.7,0.1,0.3,0.0,1.9,9.1,6.7
202,194,Reggie Jackson,LAC,7,7,30.5,3.9,9.4,.409,1.0,3.9,.259,1.7,1.7,1.000,0.3,1.7,2.0,4.3,0.6,0.1,2.1,2.3,10.4,6.7
203,195,Tyus Jones,MEM,8,1,21.8,3.8,8.4,.448,0.9,3.0,.292,0.6,0.6,1.000,0.1,1.1,1.3,3.4,0.8,0.0,1.3,0.5,9.0,6.7
204,196,Naz Reid,MIN,4,0,17.3,4.3,7.0,.607,0.8,3.0,.250,1.5,2.0,.750,0.5,2.8,3.3,0.0,0.3,0.8,1.5,2.8,10.8,6.7
205,197,Edmond Sumner,BRK,8,6,20.5,3.3,7.5,.433,1.1,3.0,.375,1.5,1.6,.923,0.5,1.8,2.3,1.6,1.3,0.5,1.4,1.8,9.1,6.7
206,198,Joe Harris,BRK,8,8,29.1,3.4,7.9,.429,1.8,5.1,.341,0.1,0.5,.250,0.8,2.9,3.6,2.1,0.9,0.1,0.6,2.3,8.6,6.6
207,199,Ty Jerome,GSW,4,0,17.6,2.5,5.0,.500,1.0,3.0,.333,1.5,1.5,1.000,0.3,1.5,1.8,2.5,0.0,0.0,0.3,1.3,7.5,6.6
208,200,Gordon Hayward,CHO,2,2,25.1,3.0,10.5,.286,1.0,3.0,.333,2.5,3.0,.833,0.5,3.0,3.5,4.0,1.0,0.0,1.5,0.5,9.5,6.5
210,201,Bryn Forbes,MIN,2,0,13.5,2.5,5.5,.455,1.5,3.0,.500,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,0.0,0.5,0.5,6.5,6.4
211,202,Daniel Gafford,WAS,8,0,14.1,2.1,2.8,.773,0.0,0.0,,1.6,2.8,.591,1.4,2.9,4.3,0.9,0.4,1.1,1.0,1.5,5.9,6.4
212,203,Josh Green,DAL,6,0,22.3,2.7,4.3,.615,1.0,2.2,.462,1.2,2.0,.583,0.8,0.8,1.7,1.0,1.0,0.0,0.5,2.2,7.5,6.4
213,204,Rui Hachimura,WAS,8,0,23.4,4.8,10.5,.452,0.6,2.3,.278,1.1,1.6,.692,0.5,4.3,4.8,0.8,0.3,0.6,1.5,1.3,11.3,6.4
214,205,Walker Kessler,UTA,7,0,13.2,2.6,3.7,.692,0.0,0.0,,0.0,0.4,.000,2.3,3.0,5.3,0.3,0.0,1.7,0.3,1.4,5.1,6.4
215,206,Drew Eubanks,POR,7,3,20.8,3.0,4.3,.700,0.0,0.0,,0.6,1.1,.500,1.6,3.4,5.0,1.1,0.4,0.7,1.1,2.4,6.6,6.3
216,207,Keegan Murray,SAC,7,7,29.4,3.6,9.1,.391,2.0,5.6,.359,0.1,0.3,.500,0.4,3.1,3.6,1.1,1.6,0.7,1.1,2.6,9.3,6.2
217,208,Will Barton,WAS,8,0,22.9,3.1,9.0,.347,1.1,4.4,.257,1.3,1.3,1.000,0.5,3.5,4.0,2.6,0.4,0.4,1.0,1.0,8.6,6.1
218,209,Montrezl Harrell,PHI,5,1,12.8,2.4,3.8,.632,0.0,0.0,,1.8,2.4,.750,0.8,2.4,3.2,0.2,0.6,0.6,0.4,1.4,6.6,6.1
219,210,Nassir Little,POR,7,0,15.8,2.9,5.1,.556,1.1,2.1,.533,0.9,1.0,.857,0.3,2.3,2.6,1.0,0.1,0.3,0.7,0.9,7.7,6.1
220,211,Terance Mann,LAC,7,2,19.1,3.0,5.6,.538,0.4,1.9,.231,0.4,0.6,.750,0.3,2.3,2.6,2.1,0.7,0.3,0.6,1.7,6.9,6.1
221,212,Tre Mann,OKC,7,0,21.3,3.4,8.3,.414,2.0,5.1,.389,0.6,1.0,.571,0.6,2.4,3.0,1.4,0.7,0.1,1.1,1.3,9.4,6.1
222,213,Dwight Powell,DAL,6,4,21.4,2.7,4.3,.615,0.0,0.0,,1.0,1.3,.750,2.2,2.5,4.7,0.3,1.0,0.3,0.8,2.5,6.3,6.1
223,214,Cam Reddish,NYK,7,5,23.4,3.0,7.4,.404,1.0,3.4,.292,1.4,1.7,.833,0.3,0.9,1.1,1.4,0.9,0.4,0.3,1.3,8.4,6.1
224,215,Luke Kennard,LAC,6,5,21.5,2.7,5.0,.533,1.8,3.8,.478,0.2,0.2,1.000,0.3,3.5,3.8,0.7,0.7,0.0,0.8,1.5,7.3,5.9
225,216,R.J. Hampton,ORL,5,0,15.5,2.8,4.8,.583,1.4,2.6,.538,1.0,1.0,1.000,0.4,0.8,1.2,1.2,0.4,0.8,1.6,1.6,8.0,5.8
226,217,Jeremy Sochan,SAS,6,6,24.1,2.8,5.3,.531,0.3,2.2,.154,0.3,0.3,1.000,1.2,2.0,3.2,1.2,1.0,0.5,0.8,1.8,6.3,5.8
227,218,Terence Davis,SAC,6,0,11.6,2.0,4.5,.444,1.2,3.3,.350,1.2,1.3,.875,0.5,2.3,2.8,1.7,0.5,0.2,0.5,1.3,6.3,5.7
228,219,John Konchar,MEM,8,2,24.7,2.4,5.8,.413,1.1,3.3,.346,0.0,0.0,,1.5,4.0,5.5,1.4,0.6,0.4,0.5,1.9,5.9,5.7
229,220,Caleb Martin,MIA,6,6,29.3,3.2,7.2,.442,0.5,2.3,.214,0.7,1.2,.571,1.8,2.2,4.0,1.8,0.7,0.2,1.2,1.8,7.5,5.7
231,221,Darius Bazley,OKC,5,0,14.8,1.8,5.2,.346,0.6,1.4,.429,0.2,0.6,.333,2.0,1.8,3.8,2.0,1.4,1.0,0.4,1.8,4.4,5.6
232,222,Javonte Green,CHI,7,0,17.2,2.4,4.1,.586,0.9,1.6,.545,0.4,0.6,.750,1.0,2.1,3.1,0.9,0.7,0.7,1.0,1.9,6.1,5.6
233,223,Shaedon Sharpe,POR,6,3,23.1,3.7,6.8,.537,1.0,2.2,.462,0.3,0.3,1.000,0.3,1.8,2.2,0.2,0.3,0.3,0.7,1.5,8.7,5.6
234,224,Jalen Williams,OKC,7,2,22.8,3.4,6.9,.500,0.3,1.9,.154,0.3,0.3,1.000,0.4,1.9,2.3,2.6,0.7,0.3,1.0,2.4,7.4,5.6
235,225,Kenrich Williams,OKC,6,0,20.4,2.2,4.5,.481,0.3,1.5,.222,0.3,1.0,.333,2.2,2.3,4.5,1.7,0.8,0.0,0.2,2.2,5.0,5.6
236,226,Dorian Finney-Smith,DAL,6,6,31.0,3.0,6.8,.439,1.5,4.5,.333,1.2,1.3,.875,0.5,2.8,3.3,0.7,0.8,0.3,1.8,1.2,8.7,5.5
237,227,Usman Garuba,HOU,6,0,17.3,1.7,3.3,.500,0.3,0.5,.667,0.7,1.2,.571,2.2,4.0,6.2,1.3,0.8,0.8,1.3,1.8,4.3,5.5
238,228,AJ Griffin,ATL,6,0,15.3,2.8,5.8,.486,1.2,3.0,.389,0.5,0.5,1.000,0.3,1.7,2.0,0.8,0.7,0.0,0.5,1.0,7.3,5.5
239,229,Marvin Bagley III,DET,1,0,16.9,2.0,5.0,.400,0.0,1.0,.000,0.0,0.0,,2.0,2.0,4.0,1.0,0.0,2.0,0.0,0.0,4.0,5.4
240,230,Derrick Jones Jr.,CHI,7,0,14.7,1.9,4.0,.464,0.3,1.0,.286,1.6,2.0,.786,1.1,1.7,2.9,0.7,0.3,1.0,0.1,1.4,5.6,5.4
241,231,Keita Bates-Diop,SAS,5,1,15.2,2.4,5.2,.462,0.4,1.4,.286,1.6,2.2,.727,1.4,1.6,3.0,0.4,0.8,0.0,1.0,0.4,6.8,5.3
242,232,Blake Griffin,BOS,2,2,18.7,3.0,5.0,.600,1.0,2.5,.400,0.0,0.0,,0.5,3.0,3.5,1.0,0.0,0.0,1.0,1.0,7.0,5.3
243,233,Davion Mitchell,SAC,7,1,21.2,3.4,6.6,.522,1.6,3.6,.440,0.0,0.0,,0.1,1.0,1.1,1.4,0.7,0.0,1.4,1.6,8.4,5.3
244,234,Andrew Nembhard,IND,5,3,23.7,2.8,6.2,.452,1.2,3.0,.400,0.2,0.2,1.000,0.4,2.2,2.6,3.6,1.0,0.2,2.0,2.6,7.0,5.3
245,235,Raul Neto,CLE,2,0,14.9,1.5,4.0,.375,1.0,1.5,.667,1.0,1.0,1.000,0.0,2.5,2.5,2.5,1.0,0.0,1.0,0.0,5.0,5.3
246,236,Thaddeus Young,TOR,7,1,15.4,1.7,3.4,.500,0.0,0.4,.000,0.9,1.1,.750,1.7,1.9,3.6,1.7,1.0,0.1,0.7,1.1,4.3,5.3
247,237,Deni Avdija,WAS,8,5,26.5,2.8,7.5,.367,0.8,3.0,.250,1.5,2.0,.750,1.0,3.9,4.9,2.5,0.6,0.6,1.6,3.1,7.8,5.2
248,238,Tim Hardaway Jr.,DAL,6,0,22.5,3.3,10.0,.333,2.3,7.3,.318,0.5,0.8,.600,0.2,1.7,1.8,2.3,0.7,0.0,1.0,1.0,9.5,5.2
249,239,Danuel House Jr.,PHI,5,0,18.5,1.6,3.6,.444,0.8,2.0,.400,1.6,2.0,.800,0.2,1.8,2.0,0.8,0.8,0.4,0.0,1.8,5.6,5.2
250,240,DeAndre Jordan,DEN,5,0,14.9,2.4,3.0,.800,0.0,0.0,,0.8,1.0,.800,1.2,3.0,4.2,1.0,0.0,0.6,1.6,1.0,5.6,5.2
252,241,Chimezie Metu,SAC,5,0,13.6,2.8,5.0,.560,0.2,1.4,.143,0.6,0.8,.750,0.4,2.2,2.6,1.0,0.4,0.0,0.4,1.0,6.4,5.2
253,242,Dalano Banton,TOR,7,0,10.6,2.6,5.9,.439,1.0,2.4,.412,0.9,1.1,.750,0.6,0.6,1.1,1.3,0.4,0.9,0.9,0.9,7.0,5.1
254,243,Luke Kornet,BOS,5,0,11.1,1.4,2.8,.500,0.0,0.2,.000,1.2,1.2,1.000,1.6,1.6,3.2,1.2,0.4,1.0,0.4,1.6,4.0,5.1
255,244,Ousmane Dieng,OKC,4,0,18.0,2.0,4.5,.444,1.0,3.0,.333,0.3,0.5,.500,0.5,2.5,3.0,2.5,0.0,0.0,0.5,0.5,5.3,5.0
256,245,Wenyen Gabriel,LAL,7,2,15.4,2.4,3.4,.708,0.1,0.4,.333,0.7,0.9,.833,0.7,2.0,2.7,0.9,0.7,0.6,1.0,2.6,5.7,5.0
257,246,Jock Landale,PHO,6,0,13.6,2.0,4.0,.500,0.2,1.3,.125,1.0,1.3,.750,1.5,2.2,3.7,1.3,0.5,0.8,0.7,2.8,5.2,5.0
258,247,Damion Lee,PHO,6,0,20.4,2.3,5.3,.438,1.7,3.5,.476,0.8,1.0,.833,0.3,1.8,2.2,1.0,0.7,0.0,0.8,1.5,7.2,5.0
259,248,Malachi Flynn,TOR,5,0,12.0,2.4,5.8,.414,1.2,2.8,.429,1.2,1.4,.857,0.2,1.4,1.6,1.0,0.6,0.2,0.6,1.4,7.2,4.9
260,249,Killian Hayes,DET,7,1,23.8,3.0,7.9,.382,0.9,2.6,.333,0.9,1.0,.857,0.6,2.1,2.7,3.6,0.9,0.1,2.1,2.1,7.7,4.9
261,250,T.J. McConnell,IND,5,0,18.0,2.2,4.8,.458,0.0,0.4,.000,0.4,0.6,.667,0.6,2.4,3.0,3.8,1.2,0.2,1.8,1.8,4.8,4.9
262,251,Jaylen Nowell,MIN,7,0,16.4,3.3,7.7,.426,1.1,3.0,.381,1.3,1.6,.818,0.0,1.4,1.4,2.3,0.3,0.1,1.7,1.6,9.0,4.9
263,252,Taurean Prince,MIN,7,0,20.9,2.7,6.7,.404,1.0,3.4,.292,2.1,2.1,1.000,0.4,1.7,2.1,1.0,0.0,0.4,0.9,2.4,8.6,4.9
264,253,Torrey Craig,PHO,6,4,23.3,2.0,5.5,.364,1.2,3.3,.350,0.7,1.0,.667,1.2,3.0,4.2,1.7,0.7,0.8,0.8,2.8,5.8,4.8
265,254,Jordan Poole,GSW,6,1,27.9,4.2,11.8,.352,2.0,6.5,.308,2.7,3.3,.800,0.3,1.7,2.0,3.3,0.5,0.0,4.0,2.2,13.0,4.8
266,255,Jericho Sims,NYK,6,2,14.0,1.8,1.8,1.000,0.0,0.0,,0.2,0.3,.500,1.7,2.2,3.8,0.2,0.2,1.0,0.3,2.5,3.8,4.7
267,256,Alex Caruso,CHI,7,1,25.2,1.0,3.6,.280,0.6,2.1,.267,0.7,1.1,.625,0.4,3.1,3.6,4.1,1.3,1.0,1.7,2.1,3.3,4.6
268,257,Josh Richardson,SAS,6,0,22.0,3.3,8.8,.377,1.7,4.8,.345,2.5,3.2,.789,0.3,1.3,1.7,2.2,0.3,0.2,2.8,2.2,10.8,4.6
269,258,Trendon Watford,POR,5,0,18.4,1.8,4.0,.450,0.0,0.8,.000,1.4,1.6,.875,0.6,2.6,3.2,2.6,1.2,0.0,1.4,2.6,5.0,4.6
270,259,Terrence Ross,ORL,5,1,21.0,3.2,7.0,.457,1.4,3.0,.467,0.4,0.6,.667,0.2,1.8,2.0,1.4,0.4,0.2,1.6,1.6,8.2,4.5
271,260,JaMychal Green,GSW,3,0,14.5,2.7,6.0,.444,0.3,1.3,.250,0.3,0.3,1.000,2.3,3.0,5.3,0.3,0.3,0.7,1.0,2.7,6.0,4.4
273,261,Jordan McLaughlin,MIN,7,0,14.8,1.1,3.3,.348,0.1,1.6,.091,0.6,0.6,1.000,0.3,1.6,1.9,4.1,0.3,0.1,0.6,0.4,3.0,4.4
274,262,Cedi Osman,CLE,7,0,17.7,2.3,5.1,.444,1.1,2.7,.421,1.0,1.6,.636,0.0,2.4,2.4,1.7,0.0,0.0,0.9,1.3,6.7,4.4
275,263,Mitchell Robinson,NYK,3,2,10.1,1.3,1.7,.800,0.0,0.0,,0.0,0.0,,1.3,3.3,4.7,1.0,0.3,1.0,0.3,2.3,2.7,4.4
276,264,P.J. Tucker,PHI,7,7,28.5,1.9,2.9,.650,0.4,1.3,.333,0.1,0.3,.500,1.1,3.1,4.3,1.0,0.6,0.4,0.9,2.6,4.3,4.4
277,265,Khem Birch,TOR,2,0,10.4,1.0,1.5,.667,0.5,0.5,1.000,1.0,1.0,1.000,1.0,0.0,1.0,0.5,1.5,0.0,0.5,1.5,3.5,4.3
278,266,Juancho Hernang?mez,TOR,5,0,11.2,1.0,1.6,.625,0.6,1.0,.600,0.2,0.4,.500,0.6,2.4,3.0,1.2,0.6,0.4,0.2,0.8,2.8,4.3
279,267,David Roddy,MEM,8,0,17.3,2.3,5.6,.400,0.9,2.9,.304,0.6,1.0,.625,0.9,1.6,2.5,0.4,0.5,0.4,0.3,1.0,6.0,4.3
280,268,James Bouknight,CHO,8,0,20.3,2.6,6.6,.396,0.6,3.1,.200,0.9,1.3,.700,0.5,2.4,2.9,1.8,0.5,0.5,1.3,1.8,6.8,4.2
281,269,Serge Ibaka,MIL,6,0,13.6,1.8,3.5,.524,0.3,1.0,.333,1.0,1.5,.667,1.2,2.7,3.8,0.5,0.0,0.7,0.8,1.3,5.0,4.2
282,270,Ben Simmons,BRK,3,0,18.1,1.7,3.7,.455,0.0,0.0,,0.0,0.0,,1.3,4.3,5.7,3.0,1.0,0.3,1.3,3.7,3.3,4.2
283,271,Jalen Johnson,ATL,7,0,13.7,1.7,3.7,.462,0.1,1.0,.143,0.3,0.6,.500,0.6,3.4,4.0,0.7,1.1,0.3,0.6,1.1,3.9,4.1
284,272,Payton Pritchard,BOS,3,0,14.5,3.0,6.0,.500,0.3,2.3,.143,0.3,0.7,.500,1.7,1.7,3.3,1.0,0.3,0.0,2.0,0.3,6.7,4.1
285,273,Moses Brown,LAC,3,0,5.1,2.0,2.7,.750,0.0,0.0,,0.3,1.0,.333,1.0,1.7,2.7,0.0,0.0,0.3,0.0,1.0,4.3,4.0
286,274,Hamidou Diallo,DET,7,0,14.0,2.6,6.3,.409,0.1,0.9,.167,1.9,2.3,.813,1.3,1.7,3.0,0.3,0.4,0.3,0.9,2.6,7.1,4.0
287,275,Trey Lyles,SAC,7,0,15.2,1.9,4.7,.394,1.4,3.7,.385,0.9,1.0,.857,0.4,1.7,2.1,1.3,0.1,0.6,1.1,1.3,6.0,4.0
288,276,Doug McDermott,SAS,6,0,21.2,3.2,6.8,.463,1.2,3.5,.333,0.5,1.0,.500,0.2,1.8,2.0,1.2,0.0,0.0,1.3,1.2,8.0,4.0
289,277,Duncan Robinson,MIA,6,0,23.6,2.8,8.5,.333,1.8,6.7,.275,0.7,0.8,.800,0.0,2.7,2.7,1.7,0.2,0.0,0.7,1.8,8.2,4.0
