,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
363,347,Immanuel Quickley,PG,23,NYK,12,0,21.3,2.6,7.4,.348,1.1,3.8,.283,1.5,3.6,.419,.421,1.3,1.6,.789,0.7,4.6,5.3,3.1,1.0,0.1,1.5,1.7,7.5
364,348,Julius Randle,PF,28,NYK,12,12,33.4,6.9,15.2,.456,1.8,5.8,.319,5.1,9.4,.540,.516,4.8,6.4,.753,2.5,6.5,9.0,3.4,0.7,0.3,3.1,3.7,20.5
365,349,Austin Reaves,SG,24,LAL,12,3,26.4,2.4,5.3,.460,0.8,2.7,.313,1.6,2.6,.613,.540,2.3,2.5,.900,0.8,2.7,3.4,1.5,0.5,0.3,1.1,1.2,7.9
366,350,Cam Reddish,SF,23,NYK,12,4,20.4,2.6,6.3,.408,0.9,2.8,.324,1.7,3.5,.476,.480,0.8,0.9,.818,0.3,1.5,1.8,1.0,0.4,0.4,0.7,1.8,6.8
367,351,Davon Reed,SG,27,DEN,8,0,5.9,0.5,1.5,.333,0.4,0.8,.500,0.1,0.8,.167,.458,0.1,0.3,.500,0.0,0.5,0.5,0.1,0.4,0.0,1.0,0.6,1.5
368,352,Paul Reed,C,23,PHI,10,0,7.4,0.3,1.1,.273,0.0,0.2,.000,0.3,0.9,.333,.273,0.0,0.0,,0.4,1.3,1.7,0.1,1.1,0.4,0.3,1.9,0.6
369,353,Naz Reid,C,23,MIN,9,0,13.1,3.4,5.9,.585,0.7,2.2,.300,2.8,3.7,.758,.642,0.9,1.3,.667,0.7,2.0,2.7,0.3,0.4,0.8,0.8,1.9,8.4
370,354,Nick Richards,C,25,CHO,14,0,19.4,3.8,5.9,.639,0.0,0.0,,3.8,5.9,.639,.639,2.5,3.4,.729,2.9,3.3,6.1,0.8,0.1,0.7,0.8,2.1,10.1
371,355,Josh Richardson,SG,29,SAS,12,2,23.2,3.7,8.6,.427,2.0,5.0,.400,1.7,3.6,.465,.544,1.9,2.3,.852,0.3,1.9,2.2,2.9,0.7,0.2,2.1,2.0,11.3
372,356,Austin Rivers,SG,30,MIN,6,0,7.2,0.3,1.5,.222,0.2,0.8,.200,0.2,0.7,.250,.278,0.7,0.7,1.000,0.0,0.7,0.7,0.3,0.0,0.2,0.2,0.0,1.5
373,357,Duncan Robinson,SF,28,MIA,13,0,17.4,2.2,6.5,.345,1.5,4.8,.306,0.8,1.7,.455,.458,0.5,0.6,.875,0.2,2.2,2.4,1.4,0.1,0.0,0.4,1.8,6.5
374,358,Mitchell Robinson,C,24,NYK,9,8,19.3,2.6,3.7,.697,0.0,0.0,,2.6,3.7,.697,.697,0.7,1.6,.429,3.1,2.6,5.7,0.9,0.3,2.0,0.6,3.2,5.8
375,359,Jeremiah Robinson-Earl,PF,22,OKC,11,9,17.2,2.8,5.9,.477,1.3,3.2,.400,1.5,2.7,.567,.585,0.6,1.0,.636,0.9,2.7,3.6,0.8,1.0,0.4,0.5,1.6,7.5
376,360,Isaiah Roby,PF,24,SAS,8,0,9.0,1.1,2.6,.429,0.3,0.9,.286,0.9,1.8,.500,.476,0.3,0.8,.333,0.4,1.6,2.0,1.1,0.6,0.3,0.3,0.6,2.8
378,361,David Roddy,PF,21,MEM,13,0,17.2,2.0,5.5,.361,0.8,3.2,.268,1.2,2.4,.484,.438,0.5,0.6,.750,0.8,1.7,2.5,0.7,0.5,0.3,0.5,1.6,5.3
379,362,Ryan Rollins,PG,20,GSW,4,0,3.3,0.5,1.3,.400,0.3,0.5,.500,0.3,0.8,.333,.500,0.5,0.5,1.000,0.0,0.3,0.3,0.3,0.0,0.0,1.3,1.0,1.8
380,363,Derrick Rose,PG,34,NYK,12,0,13.0,2.3,6.3,.373,0.9,2.7,.344,1.4,3.6,.395,.447,0.6,0.6,1.000,0.3,1.6,1.9,2.0,0.4,0.2,1.1,0.6,6.2
381,364,Terrence Ross,SG,31,ORL,12,8,26.8,3.9,8.5,.461,1.8,4.3,.423,2.1,4.2,.500,.569,0.5,0.8,.667,0.4,2.3,2.7,1.3,0.7,0.3,0.9,2.2,10.2
382,365,Terry Rozier,PG,28,CHO,7,7,36.0,8.1,21.7,.375,3.6,10.0,.357,4.6,11.7,.390,.457,2.0,2.4,.824,1.6,3.9,5.4,5.6,0.4,0.4,2.4,1.3,21.9
383,366,D'Angelo Russell,PG,26,MIN,13,13,29.7,4.7,12.5,.377,1.8,5.9,.299,2.9,6.5,.447,.448,2.1,2.8,.750,0.8,2.7,3.5,5.8,1.3,0.6,3.1,2.0,13.2
384,367,Matt Ryan,SF,25,LAL,9,0,12.8,1.6,4.6,.341,1.3,3.2,.414,0.2,1.3,.167,.488,0.4,0.6,.800,0.2,1.1,1.3,0.3,0.2,0.0,0.3,1.4,4.9
385,368,Domantas Sabonis,PF,26,SAC,11,11,31.8,6.2,11.2,.553,0.1,1.1,.083,6.1,10.1,.604,.557,4.7,6.6,.712,2.3,8.1,10.4,6.1,1.0,0.5,2.2,4.2,17.2
386,369,Dario ?ari?,PF,28,PHO,7,0,9.0,1.0,3.3,.304,0.3,1.3,.222,0.7,2.0,.357,.348,0.1,0.3,.500,1.3,1.6,2.9,0.9,0.4,0.0,0.4,1.1,2.4
387,370,Jordan Schakel,SF,24,WAS,2,0,3.0,0.5,1.0,.500,0.5,0.5,1.000,0.0,0.5,.000,.750,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,1.5
388,371,Admiral Schofield,PF,25,ORL,5,0,6.4,0.6,1.2,.500,0.4,1.0,.400,0.2,0.2,1.000,.667,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.6
389,372,Dereon Seabron,SG,22,NOP,2,0,1.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390,373,Alperen ?eng?n,C,20,HOU,11,8,26.3,5.8,10.1,.577,0.3,1.2,.231,5.5,8.9,.622,.590,4.2,5.3,.793,3.7,5.4,9.1,2.0,0.7,1.0,1.9,3.4,16.1
391,374,Collin Sexton,SG,24,UTA,14,1,21.9,4.6,9.6,.474,1.2,3.1,.386,3.4,6.5,.516,.537,3.6,4.2,.847,0.9,2.0,2.9,1.9,0.7,0.1,1.6,2.2,13.9
392,375,Landry Shamet,SG,25,PHO,9,0,16.2,2.2,5.6,.400,1.3,3.7,.364,0.9,1.9,.471,.520,1.2,1.4,.846,0.2,0.4,0.7,1.2,0.6,0.1,0.9,1.3,7.0
393,376,Day'Ron Sharpe,C,21,BRK,9,0,9.6,1.0,2.2,.450,0.0,0.1,.000,1.0,2.1,.474,.450,0.7,1.1,.600,1.0,2.1,3.1,0.7,0.3,0.6,0.8,2.3,2.7
394,377,Shaedon Sharpe,SG,19,POR,12,4,20.8,3.7,7.1,.518,1.0,2.3,.444,2.7,4.8,.552,.588,0.7,0.9,.727,0.8,1.8,2.6,0.4,0.3,0.3,0.8,2.1,9.0
395,378,Pascal Siakam,C,28,TOR,9,9,35.7,8.9,18.6,.479,1.4,4.2,.342,7.4,14.3,.519,.518,5.6,7.7,.725,1.8,7.6,9.3,7.7,0.9,0.6,2.7,3.1,24.8
396,379,Ben Simmons,PG,26,BRK,9,6,27.2,2.2,5.0,.444,0.0,0.1,.000,2.2,4.9,.455,.444,0.8,1.7,.467,1.1,5.1,6.2,5.9,1.1,0.6,2.2,4.1,5.2
397,380,Marko Simonovic,C,23,CHI,1,0,2.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
399,381,Anfernee Simons,SG,23,POR,11,11,36.2,7.7,18.4,.421,3.8,10.5,.365,3.9,7.9,.494,.525,3.0,3.5,.846,0.4,2.6,3.0,4.1,0.8,0.2,2.4,2.2,22.3
400,382,Jericho Sims,C,24,NYK,7,2,8.9,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.1,0.3,.500,1.0,1.3,2.3,0.0,0.1,0.9,0.3,1.9,2.1
401,383,Marcus Smart,PG,28,BOS,13,13,32.9,3.8,9.5,.395,1.5,5.4,.286,2.2,4.2,.537,.476,1.5,1.8,.826,0.2,2.8,3.1,7.0,1.2,0.2,1.5,3.0,10.5
402,384,Dennis Smith Jr.,PG,25,CHO,13,11,29.5,4.5,9.6,.464,0.8,2.2,.357,3.7,7.5,.495,.504,0.5,0.8,.545,0.7,2.9,3.6,6.2,1.9,0.6,1.6,2.5,10.2
403,385,Dru Smith,SG,25,MIA,1,0,6.0,1.0,3.0,.333,0.0,2.0,.000,1.0,1.0,1.000,.333,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0
404,386,Ish Smith,PG,34,DEN,5,0,4.6,0.4,1.6,.250,0.0,0.2,.000,0.4,1.4,.286,.250,0.0,0.0,,0.0,0.4,0.4,0.4,0.0,0.2,0.8,0.8,0.8
405,387,Jabari Smith Jr.,PF,19,HOU,12,12,29.7,3.4,10.8,.315,1.7,5.8,.286,1.8,5.0,.350,.392,1.8,2.2,.846,1.5,5.3,6.8,0.8,0.2,1.1,1.3,3.7,10.3
406,388,Jalen Smith,PF,22,IND,12,12,23.8,4.2,9.4,.442,1.3,4.1,.327,2.8,5.3,.531,.513,1.3,2.0,.667,1.8,5.8,7.6,1.1,0.2,0.8,1.6,2.3,11.0
407,389,Jeremy Sochan,PF,19,SAS,12,12,23.8,3.2,6.4,.494,0.5,2.5,.200,2.7,3.9,.681,.532,0.3,0.6,.571,1.1,2.7,3.8,1.6,0.9,0.5,1.0,2.3,7.2
408,390,Jaden Springer,PG,20,PHI,2,0,2.0,1.0,1.5,.667,0.0,0.0,,1.0,1.5,.667,.667,0.5,1.0,.500,0.5,0.5,1.0,0.0,0.0,0.5,0.0,0.5,2.5
409,391,Lamar Stevens,PF,25,CLE,3,0,7.7,0.7,1.7,.400,0.0,0.3,.000,0.7,1.3,.500,.400,0.7,0.7,1.000,0.0,0.3,0.3,0.0,0.0,0.3,0.3,1.3,2.0
410,392,Isaiah Stewart,C,21,DET,14,14,28.1,3.9,8.1,.474,1.1,3.7,.308,2.7,4.4,.613,.544,3.4,4.6,.734,3.0,6.7,9.7,1.4,0.6,0.7,1.0,3.1,12.2
411,393,Max Strus,SF,26,MIA,13,6,32.6,5.6,12.1,.465,3.2,8.2,.387,2.5,3.9,.627,.596,1.1,1.3,.824,0.7,3.2,3.9,1.9,0.8,0.4,0.9,2.6,15.5
412,394,Jalen Suggs,PG,21,ORL,8,7,28.8,4.9,10.6,.459,1.3,4.5,.278,3.6,6.1,.592,.518,2.0,3.3,.615,0.6,2.1,2.8,4.9,1.8,0.4,3.1,3.6,13.0
413,395,Edmond Sumner,SG,27,BRK,11,5,16.5,2.5,5.7,.429,0.7,2.3,.320,1.7,3.5,.500,.492,1.7,1.8,.950,0.3,1.6,1.9,1.5,1.0,0.4,1.2,1.3,7.4
414,396,Cole Swider,SF,23,LAL,1,0,2.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
415,397,Jae'Sean Tate,SF,27,HOU,3,2,22.7,3.3,6.7,.500,0.7,1.7,.400,2.7,5.0,.533,.550,1.0,1.3,.750,2.7,1.7,4.3,3.3,1.0,0.0,1.7,5.0,8.3
416,398,Jayson Tatum,PF,24,BOS,13,13,37.5,10.4,20.8,.500,3.7,9.5,.387,6.7,11.2,.596,.589,7.8,9.0,.872,0.8,6.5,7.2,4.1,0.8,1.3,2.5,2.2,32.3
417,399,Terry Taylor,SG,23,IND,8,2,11.8,0.9,2.6,.333,0.3,1.0,.250,0.6,1.6,.385,.381,0.4,0.5,.750,0.8,1.1,1.9,0.6,0.3,0.5,0.1,1.1,2.4
418,400,Garrett Temple,SG,36,NOP,2,0,10.5,1.0,2.0,.500,1.0,2.0,.500,0.0,0.0,,.750,0.0,0.0,,0.0,0.5,0.5,0.5,0.5,0.0,0.0,1.0,3.0
420,401,Dalen Terry,SG,20,CHI,7,0,3.1,0.3,1.0,.286,0.0,0.3,.000,0.3,0.7,.400,.286,0.0,0.0,,0.0,0.3,0.3,0.3,0.1,0.3,0.4,0.1,0.6
421,402,Cam Thomas,SG,21,BRK,8,0,19.0,2.6,6.9,.382,0.6,1.6,.385,2.0,5.3,.381,.427,2.8,3.1,.880,0.1,1.5,1.6,2.3,0.8,0.3,0.9,1.1,8.6
422,403,Klay Thompson,SG,32,GSW,10,10,28.2,5.3,15.2,.349,3.0,9.3,.323,2.3,5.9,.390,.447,0.9,1.2,.750,0.3,2.7,3.0,2.4,0.5,0.4,1.6,1.8,14.5
423,404,JT Thor,PF,20,CHO,13,0,11.0,0.9,2.9,.316,0.3,1.5,.200,0.6,1.4,.444,.368,0.5,0.7,.778,0.6,1.5,2.2,0.6,0.2,0.4,0.7,0.5,2.7
424,405,Matisse Thybulle,SG,25,PHI,12,2,11.8,0.6,2.1,.280,0.3,1.3,.200,0.3,0.8,.400,.340,0.1,0.3,.333,0.3,0.9,1.2,0.5,0.7,0.3,0.2,1.3,1.5
425,406,Xavier Tillman Sr.,PF,24,MEM,8,0,11.4,1.5,2.9,.522,0.1,0.5,.250,1.4,2.4,.579,.543,0.4,1.1,.333,1.4,1.5,2.9,0.8,0.0,0.3,0.9,1.0,3.5
426,407,Isaiah Todd,PF,21,WAS,3,0,3.0,0.3,1.0,.333,0.0,0.7,.000,0.3,0.3,1.000,.333,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
427,408,Obi Toppin,PF,24,NYK,12,0,18.0,3.8,8.3,.465,1.7,4.3,.385,2.2,3.9,.553,.566,0.8,0.8,1.000,0.9,3.2,4.1,1.2,0.7,0.3,0.9,0.9,10.1
428,409,Juan Toscano-Anderson,SF,29,LAL,9,0,13.4,1.0,2.7,.375,0.2,1.2,.182,0.8,1.4,.538,.417,0.4,0.6,.800,0.1,2.2,2.3,0.6,0.2,0.3,0.8,1.8,2.7
429,410,Karl-Anthony Towns,PF,27,MIN,13,13,34.2,7.3,14.6,.500,2.0,5.6,.356,5.3,9.0,.590,.568,4.1,4.5,.914,1.9,7.1,9.0,5.4,0.6,0.6,3.0,3.8,20.7
430,411,Gary Trent Jr.,SG,24,TOR,14,14,32.0,5.8,13.9,.415,2.2,6.8,.326,3.6,7.1,.500,.495,2.8,3.6,.780,0.7,1.2,1.9,1.4,1.4,0.2,1.0,1.3,16.6
431,412,P.J. Tucker,PF,37,PHI,13,13,28.3,2.1,3.6,.574,0.8,1.8,.458,1.2,1.8,.696,.691,0.2,0.3,.750,1.4,3.2,4.6,0.8,0.5,0.5,1.1,2.6,5.2
432,413,Myles Turner,C,26,IND,7,7,28.3,5.4,10.7,.507,1.4,3.9,.370,4.0,6.9,.583,.573,5.6,6.6,.848,1.6,7.1,8.7,1.4,0.3,3.1,1.9,3.7,17.9
433,414,Jonas Valan?i?nas,C,30,NOP,13,13,24.3,5.0,9.9,.504,0.5,1.2,.375,4.5,8.7,.522,.527,3.4,4.0,.846,3.3,6.8,10.1,2.1,0.5,0.3,1.3,2.2,13.8
434,415,Jarred Vanderbilt,PF,23,UTA,12,12,24.9,3.6,6.3,.566,0.6,1.2,.500,3.0,5.2,.581,.612,0.8,1.3,.667,2.3,5.8,8.1,2.7,1.4,0.4,1.7,3.8,8.6
435,416,Fred VanVleet,PG,28,TOR,10,10,36.5,6.0,14.7,.408,3.5,8.3,.422,2.5,6.4,.391,.527,2.9,3.5,.829,0.6,3.1,3.7,6.8,2.3,0.7,1.4,2.4,18.4
436,417,Devin Vassell,SG,22,SAS,9,7,31.6,7.8,16.6,.470,3.3,7.7,.435,4.4,8.9,.500,.570,2.1,2.8,.760,0.1,4.0,4.1,3.8,0.9,0.3,1.3,1.1,21.0
437,418,Gabe Vincent,PG,26,MIA,13,0,25.9,3.4,8.5,.400,1.5,4.7,.311,1.9,3.8,.510,.486,1.5,1.8,.833,0.3,1.8,2.2,2.9,1.0,0.2,1.4,2.7,9.8
438,419,Noah Vonleh,C,27,BOS,11,1,11.4,0.9,1.7,.526,0.1,0.2,.500,0.8,1.5,.529,.553,0.2,0.2,1.000,1.5,1.8,3.3,0.4,0.2,0.5,0.7,2.3,2.1
439,420,Nikola Vu?evi?,C,32,CHI,13,13,31.8,6.2,13.0,.473,1.8,4.5,.397,4.4,8.5,.514,.541,2.5,2.7,.914,2.8,9.1,11.9,3.1,0.2,0.8,2.4,2.5,16.5
441,421,Dean Wade,PF,26,CLE,11,4,22.8,2.5,4.6,.529,1.6,3.3,.500,0.8,1.4,.600,.706,0.7,1.0,.727,0.5,2.8,3.3,1.0,0.5,0.4,0.4,2.5,7.3
442,422,Franz Wagner,SF,21,ORL,13,13,34.2,7.4,15.1,.490,0.9,4.0,.231,6.5,11.1,.583,.520,2.6,3.1,.850,1.1,2.9,4.0,4.5,0.8,0.3,2.8,2.2,18.3
443,423,Jabari Walker,SF,20,POR,8,0,9.0,1.1,2.1,.529,0.1,0.6,.200,1.0,1.5,.667,.559,0.5,0.8,.667,0.6,1.9,2.5,1.0,0.1,0.1,0.3,0.8,2.9
444,424,Lonnie Walker IV,SG,24,LAL,10,10,31.1,5.9,12.9,.457,1.6,5.1,.314,4.3,7.8,.551,.519,2.3,2.9,.793,0.5,2.1,2.6,1.9,1.2,0.7,1.2,2.1,15.7
445,425,John Wall,PG,32,LAC,10,0,22.6,4.9,11.3,.434,0.9,3.7,.243,4.0,7.6,.526,.473,1.9,3.3,.576,0.4,1.9,2.3,5.1,1.1,0.3,1.5,1.7,12.6
446,426,Duane Washington Jr.,SG,22,PHO,5,0,3.4,0.8,3.0,.267,0.2,1.6,.125,0.6,1.4,.429,.300,0.0,0.0,,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,1.8
447,427,P.J. Washington,PF,24,CHO,14,14,31.1,5.5,13.0,.423,1.7,5.1,.333,3.8,7.9,.482,.489,1.9,2.4,.765,1.1,3.3,4.4,1.5,0.6,1.1,1.9,2.9,14.6
448,428,Yuta Watanabe,SF,28,BRK,10,0,16.0,2.2,3.7,.595,1.2,2.2,.545,1.0,1.5,.667,.757,0.0,0.2,.000,0.5,1.9,2.4,0.5,0.3,0.6,0.3,1.0,5.6
449,429,Lindy Waters III,SG,25,OKC,2,0,8.0,0.5,3.0,.167,0.5,3.0,.167,0.0,0.0,,.250,0.0,0.0,,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.5
450,430,Trendon Watford,PF,22,POR,5,0,18.4,1.8,4.0,.450,0.0,0.8,.000,1.8,3.2,.563,.450,1.4,1.6,.875,0.6,2.6,3.2,2.6,1.2,0.0,1.4,2.6,5.0
451,431,Peyton Watson,SG,20,DEN,4,0,2.3,0.8,1.8,.429,0.0,0.0,,0.8,1.8,.429,.429,0.0,0.0,,0.5,0.3,0.8,0.0,0.0,0.0,0.0,0.3,1.5
452,432,Blake Wesley,SG,19,SAS,2,0,11.5,3.0,4.5,.667,1.0,1.5,.667,2.0,3.0,.667,.778,1.0,2.0,.500,0.5,0.5,1.0,2.0,0.0,0.0,1.0,1.5,8.0
453,433,Russell Westbrook,PG,34,LAL,11,3,29.5,5.8,13.6,.427,1.5,4.3,.362,4.3,9.4,.456,.483,3.4,4.2,.804,1.2,4.3,5.5,6.7,1.3,0.4,3.7,2.6,16.5
454,434,Coby White,PG,22,CHI,7,0,21.9,3.0,7.9,.382,1.4,4.9,.294,1.6,3.0,.524,.473,0.7,1.3,.556,0.1,1.6,1.7,1.7,0.7,0.0,0.9,2.0,8.1
455,435,Derrick White,SG,28,BOS,13,10,25.0,2.8,6.8,.416,1.4,3.5,.391,1.5,3.3,.442,.517,1.3,1.5,.850,0.6,2.8,3.4,2.9,0.5,0.9,0.5,2.8,8.4
456,436,Jack White,SF,25,DEN,2,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0
457,437,Aaron Wiggins,SG,24,OKC,9,4,21.4,2.2,5.3,.417,0.7,2.1,.316,1.6,3.2,.483,.479,1.2,1.6,.786,0.8,3.4,4.2,2.0,0.6,0.4,0.9,1.6,6.3
458,438,Andrew Wiggins,SF,27,GSW,11,11,34.3,7.1,14.5,.491,2.4,6.0,.394,4.7,8.5,.559,.572,1.8,2.5,.741,1.6,4.5,6.1,2.5,1.4,1.2,1.4,3.0,18.4
459,439,Grant Williams,PF,24,BOS,12,4,28.2,3.3,5.3,.609,1.7,3.3,.500,1.6,2.0,.792,.766,1.3,1.7,.800,0.8,4.1,4.8,1.9,0.6,0.7,0.8,2.8,9.5
460,440,Jalen Williams,SG,21,OKC,8,2,21.5,3.4,6.5,.519,0.4,1.9,.200,3.0,4.6,.649,.548,0.6,0.6,1.000,0.4,2.0,2.4,2.8,1.1,0.4,1.3,2.5,7.8
462,441,Jaylin Williams,PF,20,OKC,2,0,6.5,1.5,3.5,.429,0.0,0.5,.000,1.5,3.0,.500,.429,0.0,0.5,.000,2.0,1.5,3.5,1.0,0.5,0.0,0.0,1.0,3.0
463,442,Kenrich Williams,PF,28,OKC,11,2,20.6,2.6,5.4,.492,0.5,1.9,.286,2.1,3.5,.605,.542,0.2,0.6,.286,2.2,2.3,4.5,1.5,0.5,0.2,0.4,2.1,6.0
464,443,Mark Williams,C,21,CHO,3,0,4.3,1.3,2.3,.571,0.0,0.0,,1.3,2.3,.571,.571,1.0,1.0,1.000,1.3,1.3,2.7,0.0,0.0,0.0,0.7,1.0,3.7
465,444,Patrick Williams,PF,21,CHI,13,13,24.8,3.5,7.8,.446,1.0,2.8,.351,2.5,4.9,.500,.510,0.9,1.0,.923,1.2,2.5,3.7,0.8,0.8,1.1,1.5,2.1,8.8
466,445,Vince Williams Jr.,SG,22,MEM,3,0,6.0,0.3,2.0,.167,0.0,1.7,.000,0.3,0.3,1.000,.167,0.0,0.0,,0.3,0.7,1.0,0.7,0.7,0.3,0.0,1.3,0.7
467,446,Zion Williamson,PF,22,NOP,11,11,32.2,9.0,15.9,.566,0.3,0.5,.500,8.7,15.4,.568,.574,5.3,7.4,.716,2.1,4.3,6.4,3.9,1.1,0.3,2.7,2.7,23.5
468,447,Justise Winslow,SF,26,POR,11,4,26.6,3.2,8.1,.393,0.5,1.8,.250,2.7,6.3,.435,.421,1.1,1.6,.667,1.7,3.1,4.8,3.5,1.3,0.5,1.3,2.5,7.9
469,448,James Wiseman,C,21,GSW,10,0,13.8,2.9,4.8,.604,0.0,0.0,,2.9,4.8,.604,.604,1.5,2.3,.652,1.0,3.0,4.0,0.9,0.1,0.4,0.8,2.6,7.3
470,449,Christian Wood,PF,27,DAL,10,0,24.7,5.8,10.1,.574,1.3,3.1,.419,4.5,7.0,.643,.639,3.0,4.4,.682,1.3,6.2,7.5,0.8,0.5,0.5,2.4,2.8,15.9
471,450,Delon Wright,PG,30,WAS,4,0,22.8,2.5,6.0,.417,0.8,3.0,.250,1.8,3.0,.583,.479,0.8,1.3,.600,1.0,1.5,2.5,3.3,2.8,1.0,1.0,1.3,6.5
472,451,McKinley Wright IV,PG,24,DAL,1,0,5.0,1.0,4.0,.250,0.0,1.0,.000,1.0,3.0,.333,.250,0.0,0.0,,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0
473,452,Thaddeus Young,PF,34,TOR,11,1,12.7,1.4,2.9,.469,0.1,0.7,.125,1.3,2.2,.583,.484,0.5,0.7,.750,1.2,1.5,2.7,1.2,0.9,0.1,0.5,1.1,3.4
474,453,Trae Young,PG,24,ATL,12,12,35.2,8.6,22.7,.379,2.3,7.7,.304,6.3,15.0,.417,.430,7.9,8.8,.905,0.9,2.3,3.2,9.3,0.8,0.2,3.8,1.4,27.4
475,454,Ivica Zubac,C,25,LAC,13,13,30.6,4.3,7.1,.609,0.0,0.1,.000,4.3,7.0,.615,.609,2.0,3.3,.605,2.8,8.4,11.2,1.3,0.6,2.2,2.2,2.8,10.6
