,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
288,276,Jalen McDaniels,SF,25,CHO,14,1,26.4,3.6,8.4,.432,1.4,3.5,.408,2.2,4.9,.449,.517,1.1,1.4,.842,1.1,3.9,5.1,2.4,1.1,0.6,1.4,2.6,9.9
289,277,Doug McDermott,SF,31,SAS,13,0,21.1,3.7,8.2,.449,2.0,4.8,.413,1.7,3.4,.500,.570,0.6,0.9,.667,0.3,1.9,2.2,1.4,0.0,0.2,1.0,1.6,10.0
290,278,JaVale McGee,C,35,DAL,10,7,9.4,1.6,3.2,.500,0.0,0.0,,1.6,3.2,.500,.500,1.0,1.7,.588,1.1,1.9,3.0,0.2,0.3,0.5,1.1,1.0,4.2
291,279,Bryce McGowens,SG,20,CHO,5,0,6.0,1.0,1.8,.556,0.2,0.6,.333,0.8,1.2,.667,.611,1.0,1.0,1.000,0.0,0.4,0.4,0.2,0.4,0.2,0.2,0.2,3.2
292,280,Rodney McGruder,SG,31,DET,5,0,4.2,0.2,1.4,.143,0.2,0.8,.250,0.0,0.6,.000,.214,0.4,0.4,1.000,0.4,0.4,0.8,0.2,0.0,0.0,0.0,0.2,1.0
294,281,Jordan McLaughlin,PG,26,MIN,11,0,15.6,1.3,3.3,.389,0.2,1.6,.111,1.1,1.6,.667,.417,0.5,0.5,1.000,0.2,1.6,1.8,3.6,0.5,0.1,0.5,0.5,3.3
295,282,De'Anthony Melton,PG,24,PHI,11,5,24.7,3.5,8.4,.424,1.5,4.3,.340,2.1,4.1,.511,.511,0.5,0.6,.714,1.1,3.0,4.1,2.7,1.7,0.5,0.9,1.6,9.0
296,283,Chimezie Metu,C,25,SAC,7,0,11.4,1.7,3.7,.462,0.1,1.1,.125,1.6,2.6,.611,.481,0.7,0.9,.833,0.3,2.3,2.6,1.1,0.3,0.1,0.3,0.9,4.3
297,284,Patty Mills,PG,34,BRK,13,0,12.8,1.8,4.2,.426,1.4,3.3,.419,0.4,0.8,.455,.593,0.8,0.8,1.000,0.2,0.5,0.8,0.8,0.2,0.1,0.2,0.5,5.7
298,285,Shake Milton,SG,26,PHI,9,0,12.6,1.8,4.0,.444,0.1,0.8,.143,1.7,3.2,.517,.458,0.4,0.7,.667,0.6,1.7,2.2,1.3,0.0,0.1,1.3,1.6,4.1
299,286,Davion Mitchell,PG,24,SAC,11,1,19.2,2.9,6.3,.464,1.2,3.2,.371,1.7,3.1,.559,.558,0.2,0.3,.667,0.0,1.4,1.4,1.8,0.5,0.0,1.5,1.7,7.2
300,287,Donovan Mitchell,SG,26,CLE,11,11,39.1,11.2,21.8,.513,4.2,9.6,.434,7.0,12.2,.575,.608,5.1,5.8,.875,1.0,3.7,4.7,6.1,1.4,0.6,3.4,2.9,31.6
301,288,Evan Mobley,PF,21,CLE,12,12,34.0,6.4,11.4,.562,0.2,0.9,.182,6.3,10.5,.595,.569,2.7,3.5,.762,2.2,4.9,7.1,2.1,0.8,1.5,2.3,3.0,15.7
