,Rk,Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
33,33,Paul George,LAC,8,8,36.6,8.9,18.4,.483,2.9,7.8,.371,5.8,7.0,.821,0.3,5.3,5.5,4.6,1.1,0.5,4.1,2.8,26.4,17.8
34,34,Damian Lillard,POR,4,4,37.0,6.5,16.0,.406,3.3,9.0,.361,7.8,9.8,.795,0.8,3.8,4.5,9.0,0.3,0.3,4.8,1.8,24.0,17.5
35,35,Ja Morant,MEM,7,7,33.5,9.7,22.7,.428,1.9,6.0,.310,4.6,6.7,.681,1.1,6.4,7.6,7.1,1.6,0.1,4.4,1.6,25.9,17.3
36,36,Jaylen Brown,BOS,7,7,37.1,9.6,19.1,.500,2.1,6.4,.333,4.1,4.9,.853,1.0,5.9,6.9,4.0,0.7,0.0,3.1,3.3,25.4,17.1
37,37,LeBron James,LAL,4,4,35.0,10.3,21.8,.471,1.3,6.3,.200,1.8,4.0,.438,1.3,7.5,8.8,6.3,0.5,0.8,2.3,2.0,23.5,17.0
38,38,DeMar DeRozan,CHI,6,6,33.3,7.3,14.3,.512,0.0,1.5,.000,7.5,8.5,.882,0.5,4.0,4.5,4.3,1.0,0.8,2.8,3.2,22.2,16.7
39,39,Spencer Dinwiddie,DAL,7,7,35.7,7.1,15.3,.467,3.7,8.6,.433,2.1,2.4,.882,0.6,3.6,4.1,5.7,1.6,0.3,1.9,2.1,20.1,16.7
40,40,Franz Wagner,ORL,6,6,34.5,9.0,15.8,.568,1.0,2.8,.353,3.5,4.0,.875,0.7,3.7,4.3,4.5,0.5,0.0,2.7,2.5,22.5,16.4
42,41,Trae Young,ATL,6,6,35.1,8.0,22.3,.358,2.0,6.8,.293,6.5,7.3,.886,0.8,2.2,3.0,8.8,1.3,0.2,3.8,0.8,24.5,16.4
43,42,Aaron Gordon,DEN,6,6,29.8,5.3,8.0,.667,1.0,2.0,.500,3.7,5.5,.667,2.2,5.2,7.3,3.3,1.0,0.3,1.0,1.5,15.3,16.2
44,43,Anfernee Simons,POR,6,6,35.8,7.8,18.8,.416,4.2,11.0,.379,4.3,5.2,.839,0.3,2.8,3.2,4.7,0.5,0.0,1.8,1.7,24.2,16.1
45,44,Bam Adebayo,MIA,6,6,34.5,8.3,15.8,.526,0.0,0.5,.000,4.3,5.0,.867,2.7,8.2,10.8,3.7,1.0,0.3,3.8,3.5,21.0,15.9
46,45,Clint Capela,ATL,7,7,28.3,6.4,10.4,.616,0.0,0.0,,1.4,2.4,.588,5.7,9.3,15.0,0.7,0.4,1.3,1.3,2.1,14.3,15.6
47,46,Lauri Markkanen,UTA,8,8,31.7,7.3,13.4,.542,2.0,5.1,.390,3.4,4.1,.818,2.0,5.6,7.6,1.8,0.3,1.0,2.0,2.0,19.9,15.6
48,47,OG Anunoby,TOR,8,8,35.4,7.9,16.8,.470,1.8,5.0,.350,3.1,3.8,.833,1.8,4.1,5.9,2.0,2.8,1.0,2.8,2.9,20.6,15.2
49,48,Julius Randle,NYK,8,8,33.4,7.0,14.8,.475,2.6,7.0,.375,5.4,6.6,.811,2.6,5.8,8.4,3.0,0.0,0.4,3.8,2.8,22.0,15.1
50,49,Russell Westbrook,LAL,7,0,28.9,6.4,14.0,.459,2.0,4.7,.424,3.6,4.0,.893,1.1,3.1,4.3,8.9,1.0,0.6,4.6,2.9,18.4,14.7
51,50,Rudy Gobert,MIN,4,4,32.2,5.3,8.0,.656,0.0,0.3,.000,5.0,6.5,.769,3.0,7.8,10.8,0.5,0.8,1.5,2.0,3.8,15.5,14.5
52,51,Alperen ?eng?n,HOU,6,6,27.0,6.0,10.2,.590,0.0,0.8,.000,5.0,6.2,.811,3.2,4.3,7.5,2.3,0.8,0.7,2.2,4.0,17.0,14.5
53,52,Al Horford,BOS,6,6,33.2,5.5,9.3,.589,2.2,4.3,.500,0.8,1.3,.625,1.2,6.7,7.8,2.7,0.8,0.8,0.5,1.8,14.0,14.3
54,53,Jamal Murray,DEN,6,6,30.7,7.3,16.0,.458,1.5,4.2,.360,2.3,2.8,.824,1.2,3.0,4.2,5.5,1.0,0.0,2.0,0.8,18.5,14.3
55,54,Jarrett Allen,CLE,6,6,32.4,6.5,11.5,.565,0.0,0.0,,3.0,3.7,.818,2.5,8.8,11.3,0.8,0.7,1.5,1.8,2.3,16.0,14.2
56,55,Buddy Hield,IND,4,4,34.7,7.8,16.3,.477,4.3,11.3,.378,1.3,1.5,.833,1.3,4.5,5.8,1.3,1.0,0.8,2.3,2.3,21.0,14.1
57,56,Wendell Carter Jr.,ORL,6,6,33.0,5.5,10.3,.532,1.7,3.3,.500,3.8,4.7,.821,1.8,6.8,8.7,3.7,0.3,0.8,2.8,2.8,16.5,14.0
58,57,Zach LaVine,CHI,5,5,34.3,7.6,17.2,.442,2.4,7.8,.308,2.4,3.0,.800,0.8,3.8,4.6,4.4,1.8,0.0,2.2,3.2,20.0,13.9
59,58,Andrew Wiggins,GSW,5,5,33.5,7.6,14.0,.543,2.4,6.2,.387,1.6,2.4,.667,1.2,4.2,5.4,1.6,1.4,0.8,2.4,2.6,19.2,13.9
60,59,Tyrese Maxey,PHI,6,6,38.1,8.0,21.0,.381,2.7,7.5,.356,3.5,4.8,.724,0.5,2.7,3.2,5.7,1.0,0.3,1.8,2.3,22.2,13.7
61,60,Tobias Harris,PHI,6,6,35.5,6.3,14.2,.447,1.8,4.8,.379,2.3,2.5,.933,1.0,5.7,6.7,3.5,1.5,0.3,1.7,1.8,16.8,13.6
63,61,Keldon Johnson,SAS,7,7,32.2,7.3,16.3,.447,3.6,8.7,.410,3.4,4.6,.750,0.6,3.9,4.4,3.0,0.7,0.0,3.0,1.3,21.6,13.5
64,62,Michael Porter Jr.,DEN,6,6,29.1,6.7,12.7,.526,3.3,7.0,.476,0.8,0.8,1.000,0.7,4.7,5.3,1.3,0.7,0.2,0.7,1.8,17.5,13.5
65,63,Brandon Ingram,NOP,7,7,35.9,8.0,17.6,.455,1.9,3.9,.481,3.0,3.6,.840,0.9,4.7,5.6,3.7,0.6,1.1,2.7,3.4,20.9,13.4
66,64,Mikal Bridges,PHO,6,6,37.9,5.8,12.5,.467,1.5,3.7,.409,2.2,2.3,.929,0.7,4.2,4.8,3.0,1.5,0.7,0.8,1.2,15.3,13.3
67,65,Lonnie Walker IV,LAL,5,5,30.7,7.0,13.0,.538,2.6,4.8,.542,2.8,3.2,.875,0.0,1.4,1.4,0.8,1.0,0.2,0.8,2.4,19.4,13.3
68,66,Devin Vassell,SAS,7,5,30.7,7.6,15.6,.486,3.0,6.9,.438,1.4,1.7,.833,0.0,3.3,3.3,2.7,0.6,0.7,1.9,1.3,19.6,13.2
69,67,Bones Hyland,DEN,3,0,26.0,6.0,13.3,.450,4.0,6.7,.600,2.0,2.3,.857,0.3,2.7,3.0,3.7,1.7,0.3,2.7,1.7,18.0,13.1
70,68,Larry Nance Jr.,NOP,7,0,26.1,5.0,6.7,.745,0.4,0.6,.750,1.4,1.9,.769,2.1,4.4,6.6,2.1,1.0,0.6,0.7,2.3,11.9,13.1
71,69,Jakob Poeltl,SAS,8,8,28.2,6.0,9.1,.658,0.0,0.0,,0.8,2.4,.316,3.5,5.4,8.9,3.6,1.0,1.5,2.8,2.4,12.8,13.1
72,70,Kyle Kuzma,WAS,7,7,32.8,7.6,16.0,.473,2.1,7.1,.300,2.3,3.4,.667,1.1,7.4,8.6,3.4,0.1,0.3,3.1,2.0,19.6,12.8
73,71,Marcus Morris,LAC,8,8,33.4,6.1,12.0,.510,2.8,6.4,.431,0.9,1.0,.875,0.4,5.8,6.1,2.4,1.0,0.4,1.1,2.5,15.9,12.7
74,72,Mason Plumlee,CHO,8,8,28.6,4.4,6.9,.636,0.0,0.0,,2.4,3.5,.679,3.5,6.9,10.4,3.8,0.9,0.5,2.0,3.3,11.1,12.7
75,73,RJ Barrett,NYK,8,8,33.5,6.8,15.8,.429,1.9,5.6,.333,4.4,6.1,.714,0.6,4.1,4.8,3.5,0.9,0.0,2.3,2.3,19.8,12.6
76,74,CJ McCollum,NOP,8,8,37.4,6.9,18.1,.379,2.4,7.3,.328,1.3,1.9,.667,1.4,5.3,6.6,6.0,1.3,1.0,2.5,1.9,17.4,12.6
77,75,Nikola Vu?evi?,CHI,6,6,31.2,6.7,12.7,.526,2.0,4.5,.444,1.0,1.2,.857,1.5,9.0,10.5,3.0,0.2,0.7,3.2,2.3,16.3,12.5
78,76,Jaden Ivey,DET,7,7,31.9,5.6,13.3,.419,1.6,4.7,.333,3.9,5.0,.771,1.4,4.3,5.7,4.4,1.4,0.6,2.9,2.4,16.6,12.4
79,77,Aleksej Pokusevski,OKC,5,5,28.9,5.4,10.0,.540,1.8,4.2,.429,0.4,0.6,.667,1.8,5.8,7.6,1.8,1.0,2.4,1.8,2.0,13.0,12.4
80,78,Jordan Clarkson,UTA,8,8,30.3,7.3,16.6,.436,3.3,8.0,.406,1.6,1.6,1.000,1.4,2.4,3.8,4.3,0.3,0.3,2.6,1.9,19.4,12.3
81,79,Marcus Smart,BOS,8,8,31.5,4.9,10.1,.481,1.6,4.5,.361,1.4,1.8,.786,0.3,3.0,3.3,7.8,1.0,0.3,1.5,3.4,12.8,12.3
82,80,Bennedict Mathurin,IND,4,0,30.4,5.3,11.5,.457,3.3,6.5,.500,5.3,6.8,.778,0.8,2.5,3.3,2.5,0.3,0.3,3.0,1.8,19.0,12.2
84,81,Kelly Oubre Jr.,CHO,8,8,32.1,7.0,17.0,.412,2.8,8.6,.319,3.3,4.5,.722,1.1,3.4,4.5,1.0,1.6,0.4,1.3,3.4,20.0,12.2
85,82,Kyle Lowry,MIA,6,6,36.6,4.5,10.5,.429,2.0,5.8,.343,3.0,3.3,.900,0.8,5.0,5.8,5.8,0.8,0.5,2.7,2.2,14.0,12.1
86,83,Jevon Carter,MIL,7,7,29.5,5.1,11.0,.468,2.4,4.9,.500,1.4,1.7,.833,0.6,1.7,2.3,4.9,1.7,1.0,1.9,3.1,14.1,12.0
87,84,Nic Claxton,BRK,7,7,24.4,5.3,7.1,.740,0.0,0.0,,0.6,1.9,.308,2.4,5.9,8.3,1.4,1.0,1.7,1.3,2.9,11.1,12.0
88,85,Evan Mobley,CLE,7,7,33.3,6.0,10.9,.553,0.0,0.4,.000,1.9,3.1,.591,3.3,5.6,8.9,2.1,0.7,1.6,2.3,3.1,13.9,11.9
89,86,Terry Rozier,CHO,6,6,36.6,7.8,20.7,.379,3.3,10.5,.317,1.5,1.8,.818,1.3,3.2,4.5,4.0,0.7,0.0,2.0,1.5,20.5,11.8
90,87,Kevin Huerter,SAC,7,7,32.4,5.4,10.3,.528,3.6,6.9,.521,1.0,2.0,.500,0.3,2.4,2.7,2.3,1.3,0.6,1.7,2.0,15.4,11.7
91,88,Malik Monk,SAC,7,0,24.5,5.0,10.3,.486,1.9,4.7,.394,3.4,3.6,.960,0.3,1.7,2.0,4.9,0.1,0.3,1.9,2.3,15.3,11.7
92,89,D'Angelo Russell,MIN,6,6,29.9,5.2,11.8,.437,2.5,6.5,.385,2.2,3.2,.684,0.8,1.7,2.5,6.8,0.8,0.3,2.8,2.0,15.0,11.7
93,90,Deandre Ayton,PHO,6,6,28.3,6.3,10.5,.603,0.3,0.8,.400,1.0,1.3,.750,3.3,4.0,7.3,1.2,0.7,0.7,1.8,3.0,14.0,11.5
94,91,Tre Jones,SAS,7,7,28.8,4.3,10.0,.429,1.0,2.3,.438,0.6,0.6,1.000,0.1,3.3,3.4,8.4,1.7,0.1,1.4,1.9,10.1,11.5
95,92,Mike Conley,UTA,8,8,30.6,3.5,8.8,.400,1.3,4.5,.278,1.8,2.0,.875,0.5,2.0,2.5,9.0,1.1,0.0,1.6,1.6,10.0,11.3
96,93,Saddiq Bey,DET,7,6,32.2,4.7,12.4,.379,1.6,5.9,.268,5.1,5.4,.947,0.9,3.3,4.1,1.6,1.1,0.1,1.4,1.6,16.1,11.1
97,94,Brook Lopez,MIL,7,7,31.4,5.9,12.0,.488,1.9,5.6,.333,2.0,2.6,.778,2.0,3.9,5.9,1.0,0.6,1.7,2.3,2.3,15.6,11.1
98,95,Bobby Portis,MIL,7,3,27.9,5.3,12.6,.420,1.1,4.1,.276,1.7,2.0,.857,2.4,8.9,11.3,2.6,0.3,0.0,1.4,1.4,13.4,11.1
99,96,Steven Adams,MEM,7,7,26.3,3.6,5.4,.658,0.0,0.0,,0.7,1.9,.385,6.1,5.7,11.9,3.1,0.7,0.9,2.3,3.1,7.9,11.0
100,97,Alec Burks,DET,2,0,21.1,5.0,9.5,.526,1.5,4.0,.375,4.5,6.5,.692,0.0,2.0,2.0,1.5,0.5,0.0,0.5,3.0,16.0,11.0
101,98,Anthony Edwards,MIN,6,6,35.0,6.8,14.5,.471,1.5,5.3,.281,2.8,4.0,.708,0.5,4.5,5.0,3.3,1.0,0.0,3.0,3.0,18.0,11.0
102,99,Josh Giddey,OKC,7,7,31.4,6.9,14.1,.485,1.1,3.1,.364,1.3,1.7,.750,1.6,6.1,7.7,5.1,0.4,0.3,4.1,2.0,16.1,11.0
103,100,Kevin Love,CLE,7,1,22.2,3.6,9.1,.391,2.3,6.4,.356,3.1,3.7,.846,1.6,5.7,7.3,3.3,0.3,0.3,1.4,1.3,12.6,11.0
105,101,Cameron Payne,PHO,4,3,32.1,6.5,15.8,.413,2.8,7.3,.379,1.3,1.5,.833,0.3,3.3,3.5,5.5,0.8,0.0,2.0,3.0,17.0,11.0
106,102,Max Strus,MIA,6,6,35.3,5.5,11.5,.478,3.3,8.3,.400,0.8,0.8,1.000,0.3,2.2,2.5,2.3,1.2,0.2,1.0,3.3,15.2,10.8
107,103,Malcolm Brogdon,BOS,5,0,23.1,5.2,10.2,.510,1.2,3.4,.353,2.6,3.4,.765,0.8,3.8,4.6,3.4,0.4,0.4,2.6,0.8,14.2,10.7
108,104,Terence Davis,SAC,6,0,15.2,3.8,7.0,.548,2.3,5.0,.467,1.0,1.0,1.000,0.3,3.7,4.0,2.2,1.0,0.3,0.3,1.7,11.0,10.7
109,105,Kelly Olynyk,UTA,8,8,26.5,4.5,8.1,.554,1.1,2.9,.391,3.4,3.9,.871,1.3,4.3,5.5,2.8,0.9,0.1,2.1,4.1,13.5,10.7
110,106,Chris Paul,PHO,3,3,24.0,1.7,4.0,.417,1.0,2.3,.429,3.7,3.7,1.000,0.0,3.0,3.0,5.7,1.3,0.3,1.0,1.7,8.0,10.6
111,107,Chris Boucher,TOR,8,0,24.4,4.5,9.5,.474,1.0,3.6,.276,2.9,3.8,.767,2.8,3.9,6.6,0.8,1.0,0.9,1.3,3.0,12.9,10.5
112,108,Kentavious Caldwell-Pope,DEN,6,6,30.6,4.5,8.2,.551,2.3,4.2,.560,1.0,1.7,.600,0.2,3.0,3.2,2.0,1.8,0.2,1.3,1.7,12.3,10.5
113,109,Luguentz Dort,OKC,7,7,29.1,5.1,11.7,.439,1.7,5.1,.333,2.1,2.7,.789,1.6,3.3,4.9,2.3,1.1,0.4,1.1,3.4,14.1,10.4
114,110,Jordan Poole,GSW,6,2,27.9,5.8,13.5,.432,2.7,7.0,.381,3.2,3.7,.864,0.3,1.7,2.0,3.3,1.0,0.2,3.2,2.0,17.5,10.4
115,111,Harrison Barnes,SAC,7,7,29.6,3.7,8.1,.456,1.3,3.7,.346,2.6,2.9,.900,1.4,3.7,5.1,1.9,1.0,0.3,0.7,1.4,11.3,10.3
116,112,Cam Thomas,BRK,7,0,25.8,4.0,9.7,.412,0.9,2.3,.375,4.6,5.4,.842,0.1,2.4,2.6,3.1,1.1,0.3,1.4,1.4,13.4,10.3
117,113,Ivica Zubac,LAC,8,8,31.5,3.9,6.6,.585,0.0,0.0,,2.5,3.8,.667,2.6,6.9,9.5,1.6,0.9,1.5,2.1,3.1,10.3,10.3
118,114,Bol Bol,ORL,6,6,27.2,4.7,7.7,.609,1.5,2.7,.563,1.5,1.7,.900,0.8,7.0,7.8,1.0,0.2,1.0,2.3,1.5,12.3,10.1
119,115,Kenyon Martin Jr.,HOU,6,1,24.4,4.7,7.3,.636,1.5,3.7,.409,0.8,1.3,.625,1.5,3.2,4.7,1.5,0.3,0.7,1.3,1.7,11.7,10.1
120,116,Caris LeVert,CLE,7,7,34.6,5.1,11.6,.444,1.3,3.7,.346,1.4,2.0,.714,1.9,4.0,5.9,4.1,0.4,0.1,1.7,2.4,13.0,10.0
121,117,Kevin Porter Jr.,HOU,6,6,35.2,6.0,15.0,.400,2.0,6.7,.300,3.8,6.2,.622,1.2,3.8,5.0,6.2,1.0,0.2,4.8,3.3,17.8,10.0
122,118,Isaiah Stewart,DET,7,7,24.9,3.7,6.9,.542,1.4,2.9,.500,1.9,2.4,.765,2.4,5.7,8.1,1.3,0.7,1.0,1.6,3.3,10.7,10.0
123,119,Tari Eason,HOU,6,0,19.8,3.7,8.0,.458,1.0,2.3,.429,1.5,2.0,.750,2.3,2.7,5.0,2.0,2.3,0.5,1.2,2.3,9.8,9.9
