,Rk,Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
126,121,Killian Hayes,DET,3,2,31.3,4.3,10.7,.406,1.3,4.3,.308,0.7,0.7,1.000,1.0,4.0,5.0,5.3,2.0,0.3,2.7,2.0,10.7,9.3
127,122,Jalen McDaniels,CHO,3,0,29.3,4.3,7.7,.565,1.3,2.7,.500,1.7,2.0,.833,0.7,3.3,4.0,2.7,0.3,0.7,1.7,2.7,11.7,9.3
128,123,RJ Barrett,NYK,3,3,31.5,5.7,15.0,.378,1.0,5.0,.200,5.0,7.3,.682,0.7,2.3,3.0,3.0,0.3,0.0,1.3,3.0,17.3,9.2
129,124,Nicolas Batum,LAC,3,0,21.1,3.7,6.3,.579,3.0,5.0,.600,0.3,1.3,.250,1.0,4.7,5.7,0.3,0.7,1.0,1.0,2.0,10.7,9.2
130,125,Bol Bol,ORL,2,2,30.8,5.0,10.5,.476,2.5,4.5,.556,1.0,1.0,1.000,1.5,10.5,12.0,1.5,0.0,1.0,4.5,1.0,13.5,9.2
131,126,Anthony Lamb,GSW,3,0,20.6,4.0,6.0,.667,2.7,4.3,.615,0.0,0.0,,0.7,2.3,3.0,2.0,0.0,0.0,0.7,2.0,10.7,9.2
132,127,Jaden McDaniels,MIN,2,2,32.2,4.0,8.5,.471,1.5,3.0,.500,2.5,4.0,.625,1.5,1.5,3.0,0.0,2.0,1.5,0.0,6.0,12.0,9.2
133,128,Jericho Sims,NYK,3,0,19.3,3.3,4.0,.833,0.0,0.0,,0.3,0.3,1.000,4.3,4.0,8.3,1.0,0.3,0.3,0.3,3.7,7.0,9.2
134,129,Yuta Watanabe,BRK,2,0,21.0,4.5,8.0,.563,1.5,3.5,.429,0.5,0.5,1.000,1.5,2.0,3.5,1.5,0.0,0.5,0.5,1.5,11.0,9.2
135,130,Jabari Smith Jr.,HOU,2,2,28.1,3.0,8.0,.375,1.0,3.0,.333,1.0,2.0,.500,3.5,7.0,10.5,1.5,1.5,1.0,0.5,3.5,8.0,9.1
136,131,Duane Washington Jr.,PHO,2,0,13.2,5.0,10.0,.500,3.0,6.0,.500,0.0,0.0,,0.0,0.0,0.0,2.5,0.0,0.0,0.5,0.5,13.0,9.1
137,132,Jalen Smith,IND,1,1,25.3,6.0,11.0,.545,3.0,7.0,.429,1.0,2.0,.500,0.0,5.0,5.0,2.0,0.0,0.0,3.0,3.0,16.0,9.0
